2020-08-13 04:09:25, Captured in time 15 August 1947 IndependenceDay IndependenceDay2020 PMBhutan FMBhutan PMOIndia MEAIndia IndianDiplomacy PIB India MIB India PBNS India https t co kvuNGz6cpJ , Indiainbhutan , IndependenceDay IndependenceDay2020 ,10710,Thimphu 
2020-08-13 03:50:50, I slept peace I woke up peace Thank you all for those of you who have sleepless nights for our safety Learning that His Majesty is having a sleepless days amp nights is heartening Let us not forget to remember this amp pray for His Majesty s safety Kadrinchey Mewangchog xf0 x9f x99 x8f xf0 x9f x99 x8f , ChhedupSangay , ,1106,Thimphu 
2020-08-13 03:39:36, Met with PMB Geneva on 10 8 2020 and RBE New Delhi on 11 8 2020 in a virtual conference I want to thank all the members led by the Kutshab in each team for the unprecedented support rendered to the nation during this Pandemic https t co ltLfhi321a , FMBhutan , ,3666,Thimphu 
2020-08-13 03:17:34, KamalaHarris New Hope s for Amerocans I am seeing light end of tunnel Congratulations , beekay777 , ,13,Thimphu 
2020-08-13 03:10:53, PMBhutan Hon ble lyonchen thanking you for keeping us safe request to allow for internal small small repair works inside the building without seeking permission to go out for materials or labors Grateful , beekay777 , ,13,Thimphu 
2020-08-13 03:06:40, Kenchoo7 xf0 x9f x99 x8b xf0 x9f x8f xbb xe2 x80 x8d xe2 x99 x80 xef xb8 x8f but 3L sounds too much xf0 x9f x98 x85 xf0 x9f x98 x85 , ha na 08 , ,796,Thimphu 
2020-08-13 03:05:20, JigsNews xf0 x9f x98 x83 being considerate not much xf0 x9f x98 x9c , ha na 08 , ,796,Thimphu 
2020-08-13 03:04:16, TRKarbaGhallay But if u learn u will gain some knowledge xf0 x9f x98 x85 , ha na 08 , ,796,Thimphu 
2020-08-13 02:56:22, Don xe2 x80 x99t miss PM narendramodi xe2 x80 x98s address on 13 August 2020 HonouringtheHonest PMOIndia MEAIndia IndianDiplomacy PIB India DDNewslive PTI News PBNS India IncomeTaxIndia https t co NyHuMUUn4r , Indiainbhutan , HonouringtheHonest ,10710,Thimphu 
2020-08-13 02:26:17, HillaryClinton KamalaHarris Congratulations America sees new hope from mess , beekay777 , ,13,Thimphu 
2020-08-13 02:15:20, Thursday Special Blessings from Apa Gaynyen for All Sentient Beings xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f Incase if you wonder what I pray or chant then don xe2 x80 x99t think big it xe2 x80 x99s very simple only Four Lines Sharing the four lines incase if you seek xe2 x80 xa6 https t co vPbj9W1mZ3 , bhutan majestic , ,1135,Thimphu 
2020-08-13 02:11:26, Lockdown Day Three Let s see how things turns out Hoping for best Praying for best Hope situation gets better every passing day Let us all support the government by staying home Stay safe , ChhedupSangay , ,1106,Thimphu 
2020-08-13 02:06:10, AchuKhegpa JigsNews Not true for me at least I want this lockdown to be lifted as soon as possible May be because I spend 99 of my times in the office and workaholic staying home day in day out is like feeling myself useless hopeless I want to see myself productive doing something atleast , ChhedupSangay , ,1106,Thimphu 
2020-08-13 02:01:03, Don xe2 x80 x99t blame anybody else when you are struggling with obstacles just realise what you are going through Walking an Uncommon Path The Gyalwang Drukpa happinessisstayingathome WednesdayThoughts https t co qZUG6NVP63 , GyeltshenChoki , WednesdayThoughts ,8,Thimphu 
2020-08-13 01:58:54, atarudrya1 AchuKhegpa I think ours is the best example in terms of preparedness Almost all the things are put in place But our people are not prepared They ask for food on the first day of lockdown itself It is telling a lot Poor people of course , ChhedupSangay , ,1106,Thimphu 
2020-08-12 22:02:13, Stay Home amp Stay Safe https t co BghBPWSrMJ , sonamhamo , ,273,Thimphu 
2020-08-12 21:04:03, JTN4Ladakh INCIndia BJP4India BJP4Ladakh JPNadda blsanthosh AshokKoul59 smritiirani ANI ImAvinashKhanna Congratulations BJP , nidhi bhattarai , ,6,Thimphu 
2020-08-12 19:26:00, xe2 xad x90 Movie of the night xe2 xad x90 Shutter Island So captivating and intense Throughout the movie i was so thrilled and yeah horrified xf0 x9f x99 x84 Leonardo and Mark Ruffalo awesome duo LOVE IT , alwaysSora , ,4,Thimphu 
2020-08-12 19:18:37, Bhutan is focusing on being a wellbeing destination This will be both physical and spiritual wellbeing stylefrontier https t co cU9caGrQtY https t co wImvmAIXew , MyBhutan , ,944,Thimphu 
2020-08-12 18:24:36, kdwangchuk89 I am not old yet I found them Bloom Garden Farm , ChhedupSangay , ,1106,Thimphu 
2020-08-12 18:16:48, Day two of the nationwide lockdown comes to end Stay home stay healthy , ChhedupSangay , ,1106,Thimphu 
2020-08-12 17:29:07, However God is in control sovereignGod , GenuineShadow , sovereignGod ,375,Thimphu 
2020-08-12 17:22:25, ProximityM Damn I still remember the day it came out Was waiting way before it s official release Blew my mind away xe2 x9d xa4 xef xb8 x8f , Xiao920 , ,96,Thimphu 
2020-08-12 17:19:25, Her Majesty Gyalyum Ashi Sangay Choden Wangchuck on GBV SRHRs of Women and Girls during COVID 19 https t co Ws5Mj4gecB , gasebtandin , ,2515,Thimphu 
2020-08-12 17:11:22, Also nytimes could get a Bhutanese journalist to do the story for them https t co agFaT2YSZg , namgayzam , ,23399,Thimphu 
2020-08-12 16:29:38, Referring Ofcourse to the dying geopolitical entity called xe2 x80 x9cThe West xe2 x80 x9d For a nation that xe2 x80 x99s resource constrained like Bhutan we have been doing well Thanks to our enlightened leadership by our King and the Government , sandeeps13 , ,274,Thimphu 
2020-08-12 16:29:03, bhuchungtsering It xe2 x80 x99s a false statistics la Must be a propaganda to paint bad image of Bhutan We hardly have around 20 30 people who follow Islam as their religion and they are located only in 1 village in the south of Bhutan , dawapenjor , ,1292,Thimphu 
