10/7/20 6:50, BharatKoJaniye warm up Mock Quiz The person seen in the picture is associated with which Indian conglomerate a Reliance b Mahindra c Tata d Birla Join BharatKoJaniye Quiz at https t co W8yhrODjyT https t co 2Wlvfd3NYI , Indiainbhutan , BharatKoJaniye BharatKoJaniye ,11579,Thimphu 
10/7/20 6:44, Flu vaccine administration has begun today People can visit the nearest health facility and avail the vaccine if they fall under the high risk category Second phase of vaccination will begin in November for the general population https t co tbrHzoLnNs , business bhutan , ,11247,Thimphu 
10/7/20 6:40, Just in case you missed it here is Prime Minister xe2 x80 x99s address at RAISE2020 AI PMOIndia MEAIndia PIB India PBNS India DigitalIndia DDNewslive RaiseAISummit KuenselOnline BBSBhutan https t co Xr43cpkInt , Indiainbhutan , RAISE2020 AI ,11579,Thimphu 
10/7/20 6:40, girlincaffeine Send noods , Sonam Tshoks , ,22,Thimphu 
10/7/20 6:38, Augmenting renewable energy capacity to fight ClimateChange IndiaPVedge2020 PMOIndia PMBhutan FMBhutan investindia PIB India PBNS India DDNewslive https t co Mq0OsgMvv4 , Indiainbhutan , ClimateChange IndiaPVedge2020 ,11579,Thimphu 
10/7/20 4:39, Covid19Update Bhutan 300th Positive case in Bhutan A 35 year old incoming expatriate male tests positive in quarantine in Paro , kuenzakarma , Covid19Update Bhutan Bhutan Paro ,1404,Thimphu 
10/7/20 4:14, Special prayer ceremony held for late Amir of Kuwait https t co ypz0kFMXF1 https t co eb28YBltXQ , business bhutan , ,11247,Thimphu 
10/7/20 4:12, RDXThinksThat RahulGandhi Colonel your message was inspiring up to the word VALOUR After that you clearly display your political inclination That is not expected from army veteran Instead join the political party like General V K Malik and shoot whatever you want , vikrantparate , ,29,Thimphu 
10/7/20 4:07, Embassy of India celebrates Gandhi xe2 x80 x99s 150th birth anniversary https t co o1fEvhQbjR https t co wzAtsCccL4 , business bhutan , ,11247,Thimphu 
10/7/20 4:02, justnlawless RDXThinksThat RahulGandhi Veterans are role model of junior officer If decorated veteran gives their opinion about politics sometime inclined to particular party it may produces wrong messages to serving officers or arm force aspirants , vikrantparate , ,29,Thimphu 
10/7/20 3:58, Will Bumthaps maintain status quo or vote for change https t co zO0cbfeTOL https t co LOUNiPXz3I , business bhutan , ,11247,Thimphu 
10/7/20 3:33, GakiTenzin Thanks for ur kindly descriptions , ChoklangTenzin , ,33,Thimphu 
10/7/20 3:33, We are excited to add coloursofbhutan textiles to our selection With techniques learnt from her ancestors and the use of only natural and renewable materials Wangchuk and her team are creating contemporary sophisticated clothes accessories and home decor textiles bhutan https t co JnvO9KIS4f , tasteofbhutan , bhutan ,3,Thimphu 
10/7/20 3:21, COVID 19 positive cases reach the 300 mark in Bhutan with a 35 year old incoming expatriate testing positive in qurantine over the last 24 hours 250 have recovered so far https t co GeNbdETVkH , Kinleyshering , ,2798,Thimphu 
10/7/20 3:15, xf0 x9f x98 xb0 Another girl raped and murdered Mumbai Mirror https t co cC5cndc3AC , DziJ , ,1764,Thimphu 
10/7/20 3:13, sonamtweetsx It does not Lol Especially when they ask you a question out of nowhere xf0 x9f xa4 xb7 xe2 x80 x8d xe2 x99 x80 xef xb8 x8f xf0 x9f x98 x86 , BidhaChencho , ,115,Paro 
10/7/20 3:01, sowfflll Sathi where were you Our Atsara had been busy advertising for your replacement in your absence na xf0 x9f xa4 xa3 xf0 x9f x92 x90 https t co ugCahl3GJv , DziJ , ,1764,Paro 
10/7/20 3:01, Product made in Bhutan Bhutan silk scarf in plain white Khadar by https t co xeqtz3y3kg xe2 x8f xa9 https t co j6FiK9Z4Kw https t co QZMRbQUgz5 , Druksell1 , ,1,Paro 
10/7/20 2:26, BharatKoJaniye Mock Quiz Which of the following passes through India a Tropic of Capricon b Equator c Tropic of Cancer d Prime Meridian Join BharatKoJaniye Quiz at https t co W8yhrOUUqr PMOIndia MEAIndia OIA MEA PIB India KuenselOnline BBSBhutan , Indiainbhutan , BharatKoJaniye BharatKoJaniye ,11579,Thimphu 
10/7/20 1:29, Good Morning Take some breather Some positive news after all WHO days Covid 19 vaccine might be available by end of this year https t co HjejTq6xAc , ChhedupSangay , ,1153,Thimphu 
10/6/20 22:56, Missing home https t co 2yThXfUeXj , pwangdi , ,159,Thimphu 
10/6/20 20:44, hthfc4 Health of family and community is more important than a game of football Family and community health because it sounds like your life is 90 mins in the stadium xf0 x9f x98 x9c , phuzinspurs , ,1279,Thimphu 
10/6/20 18:42, amitmalviya This is too much Mr Malviya calling Nehru coward Indira Gandhi Dictator and Rajeev Gandhi loser Before giving such comments atleast read some history books Please do not show your stupidity publicly , vikrantparate , ,29,Thimphu 
10/6/20 18:33, RDXThinksThat RahulGandhi Biggest failure of this government is bringing arm forces in the politics This is the example , vikrantparate , ,29,Thimphu 
10/6/20 18:26, MrsGandhi And how you people gets this data which is not available other than investigation team God knows or , vikrantparate , ,29,Thimphu 
10/6/20 18:23, MrsGandhi Madam are you trying to say that whatever happened with victim is right she was deserving that , vikrantparate , ,29,Thimphu 
