2020-08-29 05:40:21, Read it as I make it Thank you xf0 x9f x99 x8f , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:37:16, Q Government could have amended the tobacco law A Amendment will bring in an adverse impact rather Government facilitation is just temporary It maintain status quo when the situation gets better But amendment means we are making it permanent That s awful , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:36:55, I have seen many people comparing with drugs The issue is completely different Drugs are a contraband substance It was banned completely But tobacco was not People can legally smoke but they cannot use drugs even during the normal situation , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:36:42, When the government s decision has restricted the movement of people to buy products it becomes their mandate to facilitate access to tobacco products for those consumers , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:36:30, Q Then how about other drugs Can the government facilitate to supply the drugs as well A What we need to understand is that tobacco and its products were never banned It was just controlled People were allowed to bring in and consume , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:35:54, Also the Constitution gives the right to trade and business But our shops and businesses are closed Can we say the government is amending the Constitution No we can xe2 x80 x99t The government is doing all they can for the benefit of us , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:35:21, We can xe2 x80 x99t say government here is amending the Constitution Can we Everyone feels okay to be staying home and not moving around , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:34:38, Q Does it mean that the Government has unilaterally amended the Tobacco Act A People cannot single out the distribution of tobacco products alone For example this lockdown also violates our fundamental right to movement enshrined in our Constitution This is rather serious , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:33:59, There are hundreds of people out there who can t live without smoking We can t ignore that group of people , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:33:44, Q As per the Constitution it seems like unlawful Not sure which provision of Constitution he refers to A People just make noise on this particular product They are silent on alcohol meat and other commodities which has similar negative impacts , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:33:06, Some questions I get during the lockdown And some points I made it Q What s your stand on government allowing the Duty Free Shop to distribute tobacco and tobacco products A Completely okay It xe2 x80 x99s like the government facilitating to make access to any other essential items , ChhedupSangay , ,1129,Thimphu 
2020-08-29 05:05:45, By 2030 NewIndia s per capita consumption is set to grow 4 3x in rural areas amp 3 5x in urban areas Interested Learn more about retail in xf0 x9f x87 xae xf0 x9f x87 xb3 https t co JTEP9JFPTN PMOIndia MEAIndia IndianDiplomacy WIONews livemint PIB India investindia https t co QWvZViOML2 , Indiainbhutan , NewIndia ,11088,Thimphu 
