,Date,Sentiment Score
155,10/02/2020,0.10138391972950797
156,10/01/2020,0.18434204110066182
157,09/30/2020,0.16865257407822062
158,09/17/2020,0.09749442476715203
159,09/16/2020,0.207480697163533
160,09/15/2020,0.1798729200487013
161,09/14/2020,0.1904101358411703
162,09/13/2020,0.11419637551990491
163,09/12/2020,0.1573837009551295
164,09/11/2020,0.2655984555984557
165,09/29/2020,0.1879316420014094
166,09/28/2020,0.15610572171935813
167,09/27/2020,0.183829346092504
168,09/26/2020,0.07862189958888074
169,09/25/2020,0.15097179421331963
170,09/24/2020,0.17476753688488386
171,09/23/2020,0.2716779025372776
172,09/22/2020,0.22776727736549168
173,09/21/2020,0.22120221898283127
174,07/15/2020,0.03895833333333333
175,07/14/2020,0.17628501766432805
176,07/13/2020,0.14573506807202463
